Fetching all Feishu records...
Total records: 84
Total to delete: 33
Token obtained, starting delete...
[OK] recvibXy4XpfuC | 纯分享攻略贴
[OK] recvic0kxmveGY | reasons为空且无求助信号
[OK] recvic1qeLEqXJ | 纯分享攻略贴
[OK] recvic3VVxKWOO | 纯分享攻略贴
[OK] recvifUFLECuh4 | 纯分享攻略贴
[OK] recvigioCWQQy3 | 纯分享攻略贴
[OK] recvigip5pEL8A | 纯分享攻略贴
[OK] recvigRpkpSZr9 | 纯分享攻略贴
[OK] recvii9LABv3MO | 纯分享攻略贴
[OK] recviihccpsQ7b | 纯分享攻略贴
[OK] recviihC3kdgdu | 纯分享攻略贴
[OK] recviin6FYKeE2 | 纯分享攻略贴
[OK] recviioOFSRGcM | 纯分享攻略贴
[OK] recviipAho1ZNZ | 纯分享攻略贴
[OK] recviiKkGYjvLt | 纯分享攻略贴
[OK] recvisyIWQE8wo | reasons为空且无求助信号
[OK] recviszD2ff99W | reasons为空且无求助信号
[OK] recvitnxSU7ZXD | reasons为空且无求助信号
[OK] recvitnygCJL9P | reasons为空且无求助信号
[OK] recvitpa8A61Vt | reasons为空且无求助信号
[OK] recvitt8Te9xQ4 | reasons为空且无求助信号
[OK] recvitt9NjYqvx | reasons为空且无求助信号
[OK] recvittaxUiIy4 | reasons为空且无求助信号
[OK] recvituNr5Y7Qw | reasons为空且无求助信号
[OK] recvituNOfyK0W | reasons为空且无求助信号
[OK] recvitxRA6Imra | reasons为空且无求助信号
[OK] recvitxRWw809a | reasons为空且无求助信号
[OK] recvitypy9VlPM | reasons为空且无求助信号
[OK] recvitAQVfpp0Q | reasons为空且无求助信号
[OK] recvitCHM2zaLQ | reasons为空且无求助信号
[OK] recviujna2vXb6 | reasons为空且无求助信号
[OK] recviuk9hEFHKu | reasons为空且无求助信号
[OK] recviuksE1D74J | reasons为空且无求助信号

结果: 成功 33/33
结果已保存到 review_result.json
